Observation id,FT50.Exp1.Cami,,,,,,,,
,,,,,,,,,
Media file(s),,,,,,,,,
,,,,,,,,,
Player #1,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,,,,,,,,
Player #1,C:/Users/sbro225/Desktop/BORIS PROJECTS/2_GH030008.mp4,,,,,,,,
Player #1,C:/Users/sbro225/Desktop/BORIS PROJECTS/3_GH040008.mp4,,,,,,,,
Player #1,C:/Users/sbro225/Desktop/BORIS PROJECTS/4_GH050008.mp4,,,,,,,,
Player #1,C:/Users/sbro225/Desktop/BORIS PROJECTS/5_GH060008.mp4,,,,,,,,
Player #1,C:/Users/sbro225/Desktop/BORIS PROJECTS/6_GH070008.mp4,,,,,,,,
Player #1,C:/Users/sbro225/Desktop/BORIS PROJECTS/7_GH080008.mp4,,,,,,,,
,,,,,,,,,
Observation date,2022-09-30 10:55:05,,,,,,,,
,,,,,,,,,
Description,,,,,,,,,
,,,,,,,,,
Time offset (s),0.0,,,,,,,,
,,,,,,,,,
independent variables,,,,,,,,,
variable,value,,,,,,,,
,,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Modifier 1,Comment,Status
553.950,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R1,Q0,Location,,,START
554.442,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,Donor,Touching,Distance,Keys,,START
554.443,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,Donor,Q2,Location,,,STOP
554.444,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,Donor,Q3,Location,,,START
554.689,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,Donor,Touching,Distance,Keys,,STOP
554.708,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R2,Touching,Distance,Robot,,STOP
554.709,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R2,Touching,Distance,R4,,START
555.189,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,Donor,Touching,Distance,Ball,,START
555.473,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R2,Touching,Distance,R4,,STOP
556.056,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R1,Touching,Distance,Ball,,STOP
